id,con_exp2_average_activation_time
1028312435818749952,1.0
1028378474107482112,1.0
1043304396149276672,1.0
1048648400240070657,1.0
1051191909874569216,1.0
1060711269634846720,2.0
1062846217418240000,1.0
1067196222119628809,1.0
1068479286892523520,1.0
1069317606983782400,1.0
1081375274472591361,1.0
1084444054530727937,1.0
1086084557009575936,0.0
1088806163385217024,1.0
1089723361142296578,1.0
1090055713462865925,1.0
1090368754456891393,1.0
1091364601814499329,1.0
1095260188716777472,1.0
1098366530591457281,1.0
1098418046002253824,1.0
1099855211038892032,1.0
1100840274136363009,1.0
1101246138739539969,1.0
1101599164427837440,1.0
1104096944052293632,1.0
1113174179044634624,1.0
1116360718687690758,1.0
1121246126571573249,1.0
1126279695400566790,1.0
1126916444178898944,2.0
1139058361477951494,1.0
1139158523755974656,1.0
1139298009303269376,1.0
1141126539213340672,1.0
