Id,Label,timeset,communityid,twittername,first name,last name,political affiliation,indegree,outdegree,degree,eigencentrality,community,polygon
4393812736,,,1,,,,,0,0,0,0,Liberal,1
1162280883316875264,,,1,,,,,0,0,0,0,Liberal,1
1109076731028070400,,,1,,,,,0,0,0,0,Liberal,1
1267164088599076864,,,1,,,,,0,0,0,0,Liberal,1
1162600016831078400,,,1,,,,,0,0,0,0,Liberal,1
728415025619034112,,,1,,,,,0,0,0,0,Liberal,1
1238612328087576576,,,1,,,,,0,0,0,0,Liberal,1
1147209629895516161,,,1,,,,,0,0,0,0,Liberal,1
33047300,,,1,,,,,0,0,0,0,Liberal,1
3750904576,,,1,,,,,0,2,2,0,Liberal,1
1209617399739080704,,,1,,,,,0,0,0,0,Liberal,1
108069639,,,1,,,,,0,0,0,0,Liberal,1
1113219848,,,1,,,,,0,0,0,0,Liberal,1
23962378,,,1,,,,,0,4,4,0,Liberal,1
1511621388,,,1,,,,,0,0,0,0,Liberal,1
216990477,,,1,,,,,0,0,0,0,Liberal,1
15827727,,,1,,,,,0,0,0,0,Liberal,1
1278213921468342275,,,1,,,,,0,0,0,0,Liberal,1
4685693714,,,1,,,,,0,0,0,0,Liberal,1
1343062806,,,1,,,,,0,0,0,0,Liberal,1
1151632154,,,1,,,,,0,0,0,0,Liberal,1
1380753357296394245,,,1,,,,,0,0,0,0,Liberal,1
497484572,,,1,,,,,0,0,0,0,Liberal,1
722527003,,,1,,,,,0,0,0,0,Liberal,1
3115467549,,,1,,,,,0,3,3,0,Liberal,1
1442076364501180423,,,1,,,,,0,3,3,0,Liberal,1
384516903,,,1,,,,,0,0,0,0,Liberal,1
20570921,,,1,,,,,0,2,2,0,Liberal,1
2340455210,,,1,,,,,0,0,0,0,Liberal,1
272180018,,,1,,,,,0,2,2,0,Liberal,1
48079678,,,1,,,,,0,0,0,0,Liberal,1
393003839,,,1,,,,,0,0,0,0,Liberal,1
291947329,,,1,,,,,0,2,2,0,Liberal,1
37987143,,,1,,,,,0,0,0,0,Liberal,1
100459337,,,1,,,,,0,0,0,0,Liberal,1
589333322,,,1,,,,,0,0,0,0,Liberal,1
4017242955,,,1,,,,,0,0,0,0,Liberal,1
266904396,,,1,,,,,0,0,0,0,Liberal,1
22733645,,,1,,,,,0,0,0,0,Liberal,1
327533387,,,1,,,,,0,6,6,0,Liberal,1
24986447,,,1,,,,,0,0,0,0,Liberal,1
16229199,,,1,,,,,0,0,0,0,Liberal,1
3168944977,,,1,,,,,0,0,0,0,Liberal,1
143303507,,,1,,,,,0,2,2,0,Liberal,1
30679892,,,1,,,,,0,2,2,0,Liberal,1
416719703,,,1,,,,,0,0,0,0,Liberal,1
2841682787,,,1,,,,,0,0,0,0,Liberal,1
171115367,,,1,TerryDuguid,Terry,Duguid,Liberal,3,0,3,0.009455,Liberal,6
190948207,,,1,,,,,0,0,0,0,Liberal,1
3536757616,,,1,,,,,0,8,8,0,Liberal,1
1417651057,,,1,,,,,0,3,3,0,Liberal,1
28566386,,,1,,,,,0,0,0,0,Liberal,1
372638581,,,1,,,,,0,0,0,0,Liberal,1
868664184,,,1,,,,,0,0,0,0,Liberal,1
928260986,,,1,,,,,0,2,2,0,Liberal,1
25813888,,,1,,,,Activist Organization,11,1,12,0.034668,Liberal,3
792395212136017920,,,1,,,,,0,0,0,0,Liberal,1
788060647401615360,,,1,,,,,0,0,0,0,Liberal,1
828310819402313728,,,1,,,,,0,2,2,0,Liberal,1
2748908419,,,1,,,,,0,0,0,0,Liberal,1
188162948,,,1,,,,,0,3,3,0,Liberal,1
788130042882715649,,,1,,,,,0,0,0,0,Liberal,1
776959799871303681,,,1,,,,,0,0,0,0,Liberal,1
214213512,,,1,,,,,0,0,0,0,Liberal,1
841033630050840577,,,1,,,,,0,0,0,0,Liberal,1
2350842762,,,1,,,,,0,0,0,0,Liberal,1
42247052,,,1,,,,,0,0,0,0,Liberal,1
42271645,,,1,,,,,0,0,0,0,Liberal,1
1381876639,,,1,,,,,0,3,3,0,Liberal,1
40379301,,,1,,,,,0,0,0,0,Liberal,1
23520166,,,1,,,,,0,0,0,0,Liberal,1
1654195111,,,1,,,,,0,0,0,0,Liberal,1
260907949,,,1,,,,,0,0,0,0,Liberal,1
81183666,,,1,,,,,0,0,0,0,Liberal,1
4859634618,,,1,,,,,0,0,0,0,Liberal,1
19006397,,,1,,,,,0,0,0,0,Liberal,1
3375072193,,,1,,,,,0,3,3,0,Liberal,1
2821702594,,,1,,,,,0,0,0,0,Liberal,1
1038828488,,,1,,,,,0,0,0,0,Liberal,1
952509391,,,1,,,,,0,2,2,0,Liberal,1
703343453523066881,,,1,,,,,0,2,2,0,Liberal,1
353379283,,,1,,,,,0,2,2,0,Liberal,1
23946202,,,1,,,,,0,0,0,0,Liberal,1
218325978,,,1,,,,,0,3,3,0,Liberal,1
125322205,,,1,,,,,0,0,0,0,Liberal,1
2610160608,,,1,,,,,0,0,0,0,Liberal,1
270681057,,,1,,,,,0,0,0,0,Liberal,1
2997232612,,,1,,,,,0,0,0,0,Liberal,1
2978915301,,,1,,,,,0,0,0,0,Liberal,1
2193187815,,,1,,,,,0,0,0,0,Liberal,1
2678072299,,,1,TimLouisKitCon,Tim,Louis,Liberal,21,0,21,0.283326,Liberal,6
16180205,,,1,JoyceMurray,Joyce,Murray,Liberal,10,0,10,0.031516,Liberal,6
1106068465,,,1,,,,,0,3,3,0,Liberal,1
363070453,,,1,,,,,0,20,20,0,Liberal,1
4763263992,,,1,,,,,0,0,0,0,Liberal,1
74753016,,,1,,,,,0,0,0,0,Liberal,1
120136701,,,1,,,,,0,0,0,0,Liberal,1
357958653,,,1,,,,,0,0,0,0,Liberal,1
519750654,,,1,,,,,0,2,2,0,Liberal,1
473531392,,,1,,,,,0,0,0,0,Liberal,1
282526718,,,1,SvenTrueNorth,Sven,Spengemann,Liberal,26,0,26,0.096032,Liberal,6
735561897479536640,,,1,,,,,0,0,0,0,Liberal,1
723146471273431040,,,1,,,,,0,0,0,0,Liberal,1
90743813,,,1,,,,,0,0,0,0,Liberal,1
2577417224,,,1,,,,,0,0,0,0,Liberal,1
352797710,,,1,,,,,0,0,0,0,Liberal,1
237536271,,,1,,,,,0,0,0,0,Liberal,1
