Id,Label,timeset,twittername,first name,last name,political affiliation,influence,betweenness_centrality,communityid,out_degree_centrality,in_degree_centrality,polygon
60916234,,,CarolHughesMP,Carol,Hughes,NDP,0.00659,21254.019592,2,0,0.000558,6
196717787,,,alexboulerice,Alexandre,Boulerice,NDP,0.076489,815552.738636,2,0.000223,0.007819,6
158095776,,,,,,Activist Organization,0.013568,488224.892033,9,0,0.00201,3
18681111,,,,,,Activist Organization,0.025035,386137.707755,2,0,0.005138,3
106524304,,,,,,Activist Organization,0.022096,305084.419065,2,0,0.004468,3
142731825,,,,,,Activist Organization,0.006202,35614,1,0,0.000558,3
109144163,,,,,,Activist Organization,0.025585,215031.522469,2,0,0.003686,3
3409346380,,,,,,Activist Organization,0.017832,170243.996998,2,0,0.002122,3
29545977,,,,,,Activist Organization,0.006978,44599.266204,2,0.000112,0.000782,3
59686058,,,,,,Activist Organization,0.008838,51821.244377,2,0,0.001229,3
150270263,,,,,,Activist Organization,0.021631,368544.967871,1,0.000112,0.003351,3
108413104,,,,,,Activist Organization,0.042642,79694.427788,13,0,0.001564,3
79260190,,,,,,Activist Organization,0.006202,44515,2,0,0.00067,3
247412217,,,,,,Activist Organization,0.005815,26729.420884,2,0,0.000558,3
177347829,,,,,,Activist Organization,0.08916,1048865.568064,2,0,0.014297,3
40246161,,,,,,Activist Organization,0.016281,232525.399286,11,0,0.003351,3
45976740,,,,,,Activist Organization,0.136066,1922583.14039,6,0,0.02502,3
23491400,,,,,,Activist Organization,0.083345,934916.448037,2,0,0.013738,3
280552762,,,,,,Activist Organization,0.05117,806650.794472,7,0,0.010388,3
22665788,,,,,,Activist Organization,0.008141,36,14,0,0.001005,3
1497165457,,,,,,Activist Organization,0.004652,1,19,0,0.000223,3
218952640,,,,,,Activist Organization,0.020546,331453.004876,10,0,0.004579,3
74919901,,,,,,Activist Organization,0.008916,21,16,0,0.000782,3
266048357,,,,,,Activist Organization,0.029074,273870.988821,6,0,0.003909,3
15922687,,,,,,Activist Organization,0.006978,28,15,0,0.000894,3
37044121,,,,,,Activist Organization,0.021321,304978.995889,2,0,0.004356,3
577727470,,,,,,Activist Organization,0.034501,373590.548534,2,0.000112,0.005026,3
211564038,,,,,,Activist Organization,0.074817,1403026.44631,5,0,0.015861,3
294660973,,,,,,Activist Organization,0.038765,532572.887626,5,0.000112,0.007037,3
119925381,,,,,,Activist Organization,0.061598,1397821.003749,5,0,0.012063,3
163922710,,,,,,Activist Organization,0.008141,72031.053607,5,0,0.001229,3
21951711,,,,,,Activist Organization,0.068615,952013.664382,2,0,0.012845,3
277332906,,,,,,Activist Organization,0.114358,1933454.996833,2,0,0.019882,3
551583496,,,,,,Activist Organization,0.005039,3,18,0,0.000335,3
25813888,,,,,,Activist Organization,0.034113,380272.570942,1,0.000112,0.00525,3
14079041,,,,,,Activist Organization,0.203518,3091532.81163,2,0,0.036412,3
189349553,,,,,,Activist Organization,0.006202,49119.592695,1,0,0.00067,3
21410801,,,,,,Activist Organization,0.067839,819123.056375,3,0.000112,0.01184,3
24692082,,,,,,Activist Organization,0.02481,319600.411521,2,0,0.004468,3
17969963,,,,,,Activist Organization,0.025391,267306.968747,3,0,0.003351,3
35863342,,,,,,Activist Organization,0.032951,392752.778996,2,0,0.005585,3
2249182471,,,,,,Activist Organization,0.015894,124579,12,0,0.001675,3
65666257,,,,,,Activist Organization,0.010079,45731.11057,1,0,0.001005,3
198927392,,,,,,Activist Organization,0.017832,162910.844029,5,0,0.002346,3
42702616,,,,,,Activist Organization,0.007753,62546.452888,1,0,0.001005,3
