id,community
1369312857959985153,1
800141669295222784,1
1366519801997193216,1
756584190112591872,1
1070152726141497345,1
1357304889831878657,1
1265835600923357185,1
214213512,1
1440482023693381634,1
1015928973732114435,1
222126993,1
3331826578,1
1038193556,1
7922582,1
613073821,1
1139932775388049414,1
12923812,1
372900776,1
246657960,1
17540009,1
1418601386,1
277332906,1
190231473,1
80970676,1
719557076599619584,1
261788602,1
114590651,1
3660694460,1
2904548296,1
602854345,1
2448257995,1
471625743,1
80442315,1
998590102573023232,1
1060336591,1
1059573444214439937,1
624251860,1
2174624728,1
2323751900,1
35095520,1
46556129,1
1069093860,1
274633701,1
169268197,1
2432750568,1
2291905512,1
67793897,1
17929195,1
1177657984220053506,1
3236365296,1
363070453,1
34182134,1
462128118,1
3237884919,1
144876537,1
51184630,1
15782904,1
1357259774,1
2831610879,1
766377865520775168,1
64099329,1
810942036639645696,1
740981264740679681,1
1364756283186905089,1
1379486103707746306,1
237536271,1
590165011,1
1382405059670081540,1
49660950,1
308032537,1
494732315,1
116679707,1
1040503837,1
1219432023044939776,1
1296542987850113024,1
1203817853494779904,1
198927392,1
1396338835596795904,1
704798725747531776,1
998712356,1
3419010088,1
1497052201,1
2300474413,1
242910254,1
835061048533082113,1
1421968442,1
775279674,1
14079041,1
26498121,1
609432652,1
36111440,1
1447666772,1
248980568,1
3087811674,1
3254400099,1
2729061,1
38720614,1
214492262,1
20395112,1
366117993,1
71464042,1
2830877802,1
112548739,1
2379113581,1
165020784,1
343626865,1
1238447220,1
205366389,1
543143031,1
24913022,1
2151613567,1
705167144078577664,1
1228018552428466176,1
1098567360330502144,1
634127491,1
803502925209178112,1
999476893970763777,1
1242522201770856449,1
1092244447184719873,1
1210051918397083649,1
979827806023618560,1
945090493641297921,1
1175457080561537025,1
880997516,1
1243221104560345090,1
1154381238985199618,1
1291531291066798083,1
1072206982201905155,1
382223500,1
204846220,1
35476624,1
845487573011173380,1
1195574418,1
404923541,1
1100509588175097860,1
1093890667909124100,1
1236010900693356549,1
727519870590541824,1
366171300,1
1293199610178080775,1
193721508,1
2814653607,1
823096488,1
1080965055007592456,1
3492639915,1
1571464364,1
515847342,1
198755506,1
481481910,1
28116153,1
252073146,1
21632185,1
1687712964,1
27460814,1
2479224015,1
1382749548578234370,1
248022226,1
824357739501531136,1
17900758,1
380327126,1
498423001,1
42203,1
158414044,1
15480029,1
745800926,1
21951711,1
48219360,1
1327666400,1
1335043297,1
145757413,1
1065829609,1
591459578,1
2896012540,1
28927228,1
374654206,1
2534622463,1
267941120,1
1229490959941017600,1
727897637098135552,1
1282074147884015616,1
813073081761570816,1
832619717785329664,1
709941422246330368,1
735508941258399744,1
777617628009332736,1
820730609043505152,1
739208182837321729,1
1250609616192446466,1
1097176821622284289,1
16504074,1
1238950146559352834,1
3029210380,1
2988258574,1
1267810083389480963,1
1251332171211644931,1
138077463,1
55158039,1
1655457050,1
731972892,1
872885192590884865,1
1962931488,1
2394842400,1
782939425,1
2640946469,1
2817389862,1
371447080,1
3075929388,1
23282993,1
1729193269,1
138839349,1
760353522718081026,1
1129203001,1
280552762,1
25314619,1
82167100,1
16545084,1
18457918,1
3300693633,1
2353730881,1
2727310657,1
27497799,1
17569096,1
820499790,1
237720914,1
103073108,1
15033684,1
147965270,1
1511667030,1
19893907,1
4298769753,1
3111765339,1
68805982,1
384288098,1
235070820,1
1573418346,1
61529217,1
2536457582,1
89609585,1
4729460081,1
24692082,1
1198351736,1
982496635,1
703722876,1
576365948,1
107218304,1
755749623491244032,1
776153719675072512,1
1161351506983038976,1
1164864823882067968,1
1150773939284652032,1
943892192447344641,1
1295281472224538625,1
1070588953105969152,1
971328109529182208,1
950848085802004480,1
1053529093285785601,1
951311587243110401,1
935335003084423168,1
987136895162384384,1
1069734050301128705,1
1120045145276198914,1
975491119734763522,1
21767570,1
20346252,1
803464596,1
572827030,1
2456090006,1
360129945,1
18597273,1
302593437,1
250414494,1
1291405539046457345,1
1234968032734216193,1
58340767,1
1286102971974025217,1
25703839,1
1545053600,1
877347579180220417,1
354964895,1
48981418,1
35337644,1
147981741,1
2694473137,1
523351475,1
77247925,1
193471925,1
1157395568135557120,1
1067154574278971392,1
1262878353431777280,1
1022679197976678400,1
322106815,1
198636992,1
88036806,1
38929865,1
501994958,1
1581712848,1
1362286033,1
3028678097,1
119797208,1
2314610138,1
343627226,1
17442269,1
404256223,1
48457183,1
378602976,1
168371680,1
1280972258,1
2922358250,1
161121771,1
130909683,1
2775737846,1
491697655,1
2738169336,1
247412217,1
544695802,1
19478009,1
624883194,1
274220538,1
29545977,1
255067647,1
153515520,1
1073283389288005632,1
1172199939243425792,1
1184184022177595392,1
1344041868779110400,1
1156033982586208256,1
1029235630364999681,1
1222274097935073281,1
1204829532529803265,1
1088791968451313665,1
1185990712132812800,1
1340672663090544641,1
1300291239581892609,1
1076249609125675010,1
1049412181559787521,1
