,Id_Target,Id_Source,communityid_Target,communityid_Source,betweenness_centrality_Source,betweenness_centrality_Target
2719,36133644,896911058459340800,3.0,4.0,92429.712325,1443832.511074
2724,36133644,1009785173011988480,3.0,4.0,177177.711251,1443832.511074
2727,36133644,1100840274136363009,3.0,4.0,55972.193105,1443832.511074
2866,40246161,237594523,11.0,1.0,36214.881189,232525.399286
2878,40246161,2863551224,11.0,3.0,81445.50065,232525.399286
2898,40550119,23510621,1.0,2.0,18034.364997,1614482.4852379998
2920,40550119,207657278,1.0,2.0,46072.366125,1614482.4852379998
2949,40550119,525857359,1.0,2.0,66161.311651,1614482.4852379998
3030,40550119,780111689626681344,1.0,2.0,34677.207444,1614482.4852379998
3063,40550119,1243221104560345090,1.0,2.0,3055.708351,1614482.4852379998
3069,40550119,1305607384358727680,1.0,2.0,11545.08955,1614482.4852379998
3075,40550119,1421131101922332672,1.0,3.0,230855.56496,1614482.4852379998
3115,44070432,1446352422272528385,3.0,1.0,3781095.477936,62169.550313
3166,45848808,2673432539,1.0,11.0,51566.155707,472954.99592899997
3208,45976740,82679357,6.0,3.0,159557.154009,1922583.14039
3268,45976740,1365678726,6.0,2.0,106101.44042,1922583.14039
3305,45976740,714569357267853312,6.0,3.0,330451.22038899997,1922583.14039
3338,45976740,1116360718687690758,6.0,3.0,423396.39796100004,1922583.14039
3428,47158291,1446352422272528385,3.0,1.0,3781095.477936,59078.940066999996
3499,47338701,373460084,1.0,2.0,2863.678585,1378890.35017
3509,47338701,525857359,1.0,2.0,66161.311651,1378890.35017
3534,47338701,1699266222,1.0,2.0,21993.537553000002,1378890.35017
3557,47338701,4490072542,1.0,2.0,17799.995953999998,1378890.35017
3560,47338701,711980580813066240,1.0,2.0,736622.894841,1378890.35017
3584,47338701,1111398383606886401,1.0,3.0,27461.939481,1378890.35017
3586,47338701,1156033982586208256,1.0,2.0,39896.731208,1378890.35017
3620,47338701,1443532517164785664,1.0,2.0,20314.117917,1378890.35017
3675,47452040,297404250,2.0,3.0,17155.32079,1086252.077542
3681,47452040,581833131,2.0,3.0,47573.228418,1086252.077542
3684,47452040,634127491,2.0,3.0,181428.43676500002,1086252.077542
3688,47452040,1327666400,2.0,3.0,33205.817956,1086252.077542
3693,47452040,1545053600,2.0,1.0,409256.37599699997,1086252.077542
3703,47452040,3010165940,2.0,3.0,43864.1641,1086252.077542
3724,47452040,1185768024164458496,2.0,3.0,17155.32079,1086252.077542
3745,47692251,279679549,1.0,3.0,79374.418735,151296.377653
3807,58319221,3635505735,1.0,2.0,25698.814137,251438.441479
3810,58319221,756584190112591872,1.0,2.0,1251.57819,251438.441479
3843,60916234,1446352422272528385,2.0,1.0,3781095.477936,21254.019591999997
3883,61521038,279679549,1.0,3.0,79374.418735,1063782.9169370001
3926,61521038,2553547478,1.0,2.0,6146.205687,1063782.9169370001
3981,61521038,1356317747098095616,1.0,3.0,215672.64724000002,1063782.9169370001
3988,61521038,1415746394871189504,1.0,2.0,111886.493272,1063782.9169370001
4040,83508245,1446352422272528385,3.0,1.0,3781095.477936,127428.13151800001
4055,85428184,182230187,1.0,2.0,5032.340792,471860.67285
4089,85428184,3150800516,1.0,3.0,30193.329402,471860.67285
4094,85428184,857464194626727936,1.0,3.0,114976.045123,471860.67285
4119,86384661,21056196,1.0,2.0,20877.318047,751967.794038
4243,94176238,22447958,3.0,2.0,248111.291377,683061.838469
4311,106524304,413514250,2.0,1.0,70450.995001,305084.419065
4339,108413104,272133230,13.0,2.0,107488.051695,79694.427788
4342,108413104,398483708,13.0,2.0,1809.379109,79694.427788
4344,108413104,495066576,13.0,1.0,63440.325892999994,79694.427788
4346,108413104,1545053600,13.0,1.0,409256.37599699997,79694.427788
4393,119925381,58340767,5.0,1.0,73389.121475,1397821.003749
4412,119925381,577727470,5.0,2.0,373590.548534,1397821.003749
4414,119925381,596787864,5.0,1.0,1321371.241195,1397821.003749
4419,119925381,1223950760,5.0,1.0,1266122.524391,1397821.003749
4431,119925381,2262304373,5.0,1.0,209187.350199,1397821.003749
4455,119925381,753744536887824385,5.0,2.0,134078.762673,1397821.003749
4475,119925381,1115838887623122954,5.0,1.0,153853.745179,1397821.003749
4547,129395750,1446352422272528385,3.0,1.0,3781095.477936,278717.664759
4579,150270263,3079986094,1.0,3.0,51431.289464,368544.967871
4583,158095776,258170457,9.0,3.0,51617.512615,488224.892033
4592,158095776,711980580813066240,9.0,2.0,736622.894841,488224.892033
4626,158458133,37597963,1.0,2.0,6695.8858,1078807.275814
4635,158458133,149004101,1.0,2.0,27236.906425,1078807.275814
4641,158458133,205091914,1.0,2.0,20541.020625,1078807.275814
4643,158458133,212463932,1.0,2.0,79167.32450599999,1078807.275814
4666,158458133,563064119,1.0,2.0,196353.96056500002,1078807.275814
4740,159655782,1244435052,1.0,2.0,13829.027947,147590.958873
4752,159655782,1263829639786450945,1.0,3.0,7469.6538980000005,147590.958873
4811,172004509,728594002606428161,3.0,2.0,22095.479758,206564.604172
4826,172004509,1446352422272528385,3.0,1.0,3781095.477936,206564.604172
4868,175259033,2557859383,2.0,1.0,1132691.63006,514427.847042
4874,175259033,973491119433572352,2.0,3.0,37794.802626,514427.847042
4886,175259033,1446352422272528385,2.0,1.0,3781095.477936,514427.847042
4917,176207343,1446352422272528385,3.0,1.0,3781095.477936,230207.729025
5006,177347829,768295011007934469,2.0,1.0,305180.718577,1048865.568064
5054,196717787,15892547,2.0,,,815552.738636
5055,196717787,16213179,2.0,1.0,232512.70361799997,815552.738636
5058,196717787,17388526,2.0,,,815552.738636
5062,196717787,27388441,2.0,,,815552.738636
5068,196717787,77596220,2.0,,,815552.738636
5070,196717787,86861008,2.0,1.0,9144.622465,815552.738636
5071,196717787,100874975,2.0,,,815552.738636
5076,196717787,145058470,2.0,,,815552.738636
5081,196717787,259388196,2.0,,,815552.738636
5082,196717787,271504586,2.0,,,815552.738636
